alert_id,IncidentId,Timestamp,Category,MitreTechniques,IncidentGrade,ActionGrouped,ActionGranular,EntityType,EvidenceRole,ThreatFamily,OSFamily,SuspicionLevel,LastVerdict,hour,day,month,is_weekend
LIVE-0001,0.7284868151181754,2024-06-02 02:34:27+00:00,2,559,2,3,0,27,0,636,3,2,5,0.0869565217391304,0.0333333333333333,0.4545454545454545,1.0
LIVE-0002,0.2482999889945339,2024-06-03 07:45:04+00:00,1,835,0,3,0,26,1,636,3,1,4,0.3043478260869565,0.0666666666666666,0.4545454545454545,0.0
LIVE-0003,0.2380115457343814,2024-06-03 12:23:20+00:00,16,835,0,3,0,22,1,636,3,1,4,0.5217391304347826,0.0666666666666666,0.4545454545454545,0.0
LIVE-0004,0.76819320262397,2024-06-03 19:51:01+00:00,16,835,2,3,0,5,0,636,3,2,5,0.8260869565217391,0.0666666666666666,0.4545454545454545,0.0
LIVE-0005,0.2120153009327966,2024-06-04 09:14:52+00:00,10,835,2,3,0,6,1,636,3,2,5,0.3913043478260869,0.1,0.4545454545454545,0.0
LIVE-0006,0.2722285401749535,2024-06-04 11:49:05+00:00,10,774,0,3,0,17,1,636,3,2,3,0.4782608695652174,0.1,0.4545454545454545,0.0
LIVE-0007,0.7569859696982835,2024-06-04 18:58:44+00:00,7,835,0,3,0,17,0,636,3,2,5,0.7826086956521738,0.1,0.4545454545454545,0.0
LIVE-0008,0.453563603256284,2024-06-04 19:32:52+00:00,7,835,2,3,0,27,0,636,3,2,5,0.8260869565217391,0.1,0.4545454545454545,0.0
LIVE-0009,0.099260966279919,2024-06-04 20:55:23+00:00,10,777,0,3,0,16,1,636,3,2,2,0.8695652173913043,0.1,0.4545454545454545,0.0
LIVE-0010,0.0450006836728908,2024-06-04 21:35:46+00:00,1,835,0,3,0,26,1,636,3,1,4,0.9130434782608696,0.1,0.4545454545454545,0.0
LIVE-0011,0.1853420532197658,2024-06-05 00:40:13+00:00,10,835,1,3,0,6,1,636,3,2,5,0.0,0.1333333333333333,0.4545454545454545,0.0
LIVE-0012,0.0646187606511233,2024-06-05 11:32:19+00:00,10,775,2,3,0,8,1,636,3,2,5,0.4782608695652174,0.1333333333333333,0.4545454545454545,0.0
LIVE-0013,0.7433058419014777,2024-06-05 19:07:08+00:00,6,835,0,3,0,8,1,636,3,2,5,0.8260869565217391,0.1333333333333333,0.4545454545454545,0.0
LIVE-0014,0.68370123828168,2024-06-06 07:15:14+00:00,10,497,1,3,0,6,1,636,3,2,5,0.3043478260869565,0.1666666666666666,0.4545454545454545,0.0
LIVE-0015,0.8699153913110178,2024-06-06 17:52:10+00:00,10,835,0,3,0,18,0,636,3,2,5,0.7391304347826086,0.1666666666666666,0.4545454545454545,0.0
LIVE-0016,0.613864886226826,2024-06-07 16:33:28+00:00,7,835,1,3,0,12,1,636,3,2,5,0.6956521739130435,0.2,0.4545454545454545,0.0
LIVE-0017,0.0224811656456039,2024-06-07 20:32:15+00:00,2,61,2,3,0,27,0,636,3,1,4,0.8695652173913043,0.2,0.4545454545454545,0.0
LIVE-0018,0.0413672123821498,2024-06-07 21:36:15+00:00,7,835,0,3,0,17,0,636,3,2,5,0.9130434782608696,0.2,0.4545454545454545,0.0
LIVE-0019,0.0122194023031438,2024-06-08 03:47:18+00:00,10,777,0,3,0,26,1,636,3,2,3,0.1304347826086956,0.2333333333333333,0.4545454545454545,1.0
LIVE-0020,0.2289236987703893,2024-06-08 22:05:03+00:00,10,777,2,3,0,26,1,636,3,2,3,0.9565217391304348,0.2333333333333333,0.4545454545454545,1.0
